policy,charter,legacy,seed,completed,terminal,food_min,parts_min,critical_months,months,occupied_slot_months,blocked_jobs,queue_transitions,recoveries,recovery_months,max_recovery_months
NoProjects,tarssen_relief,adaptors,4,true,None,1500,300,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,5,true,None,1500,226,25,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,6,true,None,1500,161,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,7,true,None,1452,300,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,8,true,None,1500,237,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,9,true,None,1336,247,132,3600,0,0,0,1,131,131
NoProjects,tarssen_relief,adaptors,10,true,None,1500,191,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,11,true,None,1500,278,241,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,12,true,None,1500,147,781,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,13,true,None,1500,198,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,adaptors,14,true,None,1500,181,142,3600,0,0,0,1,141,141
NoProjects,tarssen_relief,adaptors,15,true,None,1500,244,4,3600,0,0,0,1,3,3
NoProjects,tarssen_relief,preservers,0,true,None,1500,275,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,1,true,None,1500,239,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,2,true,None,1428,210,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,3,true,None,1500,245,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,4,true,None,1500,245,50,3600,0,0,0,1,50,50
NoProjects,tarssen_relief,preservers,5,true,None,1500,259,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,6,true,None,1500,300,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,7,true,None,1452,257,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,8,true,None,1500,198,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,9,true,None,1336,236,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,10,true,None,1500,251,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,11,true,None,1500,234,109,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,12,true,None,1500,149,0,3619,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,13,true,None,1500,289,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,14,true,None,1500,250,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,preservers,15,true,None,1500,232,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,0,true,None,1500,232,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,1,true,None,1500,193,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,2,true,None,1500,185,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,3,true,None,1500,282,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,4,true,None,1500,201,241,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,5,true,None,1500,212,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,6,true,None,1500,300,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,7,true,None,1500,273,237,3600,0,0,0,1,236,236
NoProjects,tarssen_relief,wanderers,8,true,None,1500,237,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,9,true,None,1500,186,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,10,true,None,1500,228,36,3600,0,0,0,1,35,35
NoProjects,tarssen_relief,wanderers,11,true,None,1500,192,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,12,true,None,1500,211,0,3600,0,0,0,0,0,0
NoProjects,tarssen_relief,wanderers,13,true,None,1500,218,43,3600,0,0,0,1,0,0
NoProjects,tarssen_relief,wanderers,14,true,None,1500,300,91,3600,0,0,0,1,90,90
NoProjects,tarssen_relief,wanderers,15,true,None,1500,199,0,3600,0,0,0,0,0,0
NoProjects,the_deep_camp,adaptors,0,false,Some(HullLoss),1500,63,1048,4968,0,0,0,1,134,134
NoProjects,the_deep_camp,adaptors,1,false,Some(HullLoss),1500,114,997,4272,0,0,0,0,0,0
NoProjects,the_deep_camp,adaptors,2,true,None,1395,134,421,5760,0,0,0,0,0,0
NoProjects,the_deep_camp,adaptors,3,true,None,1500,25,333,5760,0,0,0,1,104,104
NoProjects,the_deep_camp,adaptors,4,true,None,1500,47,0,5760,0,0,0,0,0,0
NoProjects,the_deep_camp,adaptors,5,true,None,1500,84,337,5760,0,0,0,2,335,313
NoProjects,the_deep_camp,adaptors,6,true,None,1500,73,19,5760,0,0,0,1,18,18
NoProjects,the_deep_camp,adaptors,7,false,Some(HullLoss),1500,153,1189,4848,0,0,0,0,0,0
NoProjects,the_deep_camp,adaptors,8,true,None,1500,78,257,5760,0,0,0,2,255,143
NoProjects,the_deep_camp,adaptors,9,true,None,1500,181,447,5760,0,0,0,1,301,301
NoProjects,the_deep_camp,adaptors,10,true,None,1500,174,0,5760,0,0,0,0,0,0
NoProjects,the_deep_camp,adaptors,11,true,None,1500,194,180,5760,0,0,0,3,177,152
NoProjects,the_deep_camp,adaptors,12,true,None,1500,110,748,5760,0,0,0,2,169,164
NoProjects,the_deep_camp,adaptors,13,true,None,1087,120,167,5760,0,0,0,1,117,117
NoProjects,the_deep_camp,adaptors,14,true,None,1500,187,675,5760,0,0,0,1,675,675
NoProjects,the_deep_camp,adaptors,15,false,Some(HullLoss),1445,135,840,4764,0,0,0,2,69,54
NoProjects,the_deep_camp,preservers,0,true,None,1500,209,891,5760,0,0,0,1,509,509
NoProjects,the_deep_camp,preservers,1,false,Some(HullLoss),1500,225,841,3936,0,0,0,0,0,0
NoProjects,the_deep_camp,preservers,2,true,None,1500,71,31,5760,0,0,0,1,31,31
NoProjects,the_deep_camp,preservers,3,true,None,1447,0,745,5760,0,0,0,2,743,428
NoProjects,the_deep_camp,preservers,4,true,None,1500,0,0,5760,0,0,0,0,0,0
NoProjects,the_deep_camp,preservers,5,true,None,1500,0,0,5760,0,0,0,0,0,0
NoProjects,the_deep_camp,preservers,6,false,Some(HullLoss),1500,92,769,5184,0,0,0,0,0,0
NoProjects,the_deep_camp,preservers,7,false,Some(HullLoss),1500,300,599,5302,0,0,0,0,0,0
NoProjects,the_deep_camp,preservers,8,false,Some(HullLoss),1500,88,997,5136,0,0,0,0,0,0
NoProjects,the_deep_camp,preservers,9,true,None,1500,27,243,5760,0,0,0,3,227,165
NoProjects,the_deep_camp,preservers,10,true,None,1500,4,0,5760,0,0,0,0,0,0
NoProjects,the_deep_camp,preservers,11,true,None,1500,139,1022,5760,0,0,0,2,691,503
NoProjects,the_deep_camp,preservers,12,false,Some(HullLoss),1500,85,841,4464,0,0,0,0,0,0
NoProjects,the_deep_camp,preservers,13,true,None,1087,146,309,5760,0,0,0,2,308,284
NoProjects,the_deep_camp,preservers,14,true,None,1500,0,2,5760,0,0,0,1,1,1
NoProjects,the_deep_camp,preservers,15,false,Some(HullLoss),1445,195,853,5112,0,0,0,0,0,0
NoProjects,the_deep_camp,wanderers,0,true,None,1500,18,532,5760,0,0,0,1,38,38
NoProjects,the_deep_camp,wanderers,1,false,Some(HullLoss),1500,161,628,4464,0,0,0,0,0,0
NoProjects,the_deep_camp,wanderers,2,false,Some(HullLoss),1500,181,847,5334,0,0,0,0,0,0
NoProjects,the_deep_camp,wanderers,3,true,None,1500,72,0,5760,0,0,0,0,0,0
NoProjects,the_deep_camp,wanderers,4,true,None,1500,107,618,5760,0,0,0,1,617,617
NoProjects,the_deep_camp,wanderers,5,false,Some(HullLoss),1500,208,757,5736,0,0,0,0,0,0
NoProjects,the_deep_camp,wanderers,6,true,None,1500,98,0,5760,0,0,0,0,0,0
NoProjects,the_deep_camp,wanderers,7,false,Some(HullLoss),1500,159,757,5028,0,0,0,0,0,0
NoProjects,the_deep_camp,wanderers,8,true,None,1500,104,947,5760,0,0,0,2,945,524
NoProjects,the_deep_camp,wanderers,9,false,Some(PopulationLoss),1500,79,266,5638,0,0,0,1,266,266
